category_id	title	availability	group_type	descript	notes
111	Resting functional brain MRI	0	1	Resting-state functional MRI (rfMRI) measures changes in blood oxygenation associated with intrinsic brain activity (i.e., in the absence of an explicit task or sensory stimulus). Derived phenotypic fields estimate the apparent connectivity between pairs of brain regions, as reflected in the presence of spontaneous co-fluctuations in signal (i.e., the appearance of a connection based on co-activity, as opposed to a structural tract from dMRI).	
112	T2-weighted brain MRI	0	1	T2-weighted imaging is a structural technique with contrast dominated by signal decay from interactions between water molecules (T2 relaxation times). Image intensity is primarily related to pathology, with relatively subtle signal differences between grey and white matter. T2-weighted images depict alterations to tissue compartments typically associated with pathology (e.g., white matter lesions). <p> After early piloting, a standard T2/PD-weighted acquisition was dropped due to a combination of factors such as overall value and timing practicalities.	This category primarily refers to the T2 FLAIR structural scan. <p> The T2/PD scan was originally tentatively included as a standard protocol in diagnostic imaging for the detection of some pathologies. Consultation with research experts concluded it has little or no value to the research questions UK Biobank is likely to investigate. Further, the b=0 dMRI scans can to some extent be used as a surrogate for this. Hence in the face of overall scan time pressure, the T2/PD scan was dropped from the protocol during the pilot.
113	Local environment	0	1	Properties of the local environment around participants.	
114	Residential air pollution	0	1	This category contains data on local environmental exposures, conducted by the Small Area Health Statistics Unit (http://www.sahsu.org/) as part of the BioSHaRE-EU Environmental Determinants of Health Project (http://www.bioshare.eu/). The aim of the BioSHaRE-EU Environmental Determinants of Health Project is to harmonize environmental exposures from multiple biobanks in different countries. UK Biobank is a participating biobank in this project. <p> Air pollution estimates for the year 2010 were modelled for each address using a Land Use Regression (LUR) model developed as part of the European Study of Cohorts for Air Pollution Effects (ESCAPE, http://www.escapeproject.eu/), funded under the EU 7th Framework Programme (for references see below). The LUR model is based on ESCAPE monitoring done between 26 January 2010 - 18 January 2011, and air pollution estimates are representative for the year 2010. Traffic variables were calculated during the course of LUR based on Eurostreets (vs 3.1) digital road network for the year 2008. <p> Please note that the ESCAPE estimates for particulates are valid up to 400km from the monitoring area, which was in Greater London, but it is unclear how good the estimates are outside this area. All addresses which are more than 400km away from Greater London are not assigned PM10, PM2.5, PM2.5 absorbance and PM coarse concentrations and have missing data instead (number of records: 33,935). For more information on the individual models please see the ESCAPE project website: http://www.escapeproject.eu. <p> Air pollution estimates for the years 2005-2007 were derived from EU-wide air pollution maps (resolution 100 metre x 100 metre). The x,y-coordinates of UK Biobank participants were overlaid with these maps (projected to British National Grid) and the corresponding air pollution concentration of the 100 metre x 100 metre grid cell were assigned to the coordinate. EU-wide air pollution maps were modelled based on a LUR model for Europe which also includes satellite derived air pollution estimates to improve the model performance. For details of the model and model performance see: Vienneau D, de Hoogh K, Bechle MJ, Beelen R, van Donkelaar A, Martin RV, Millet DB, Hoek G, Marshall JD. 2013. Western European land use regression incorporating satellite- and ground-based measurements of NO2 and PM10. Environmental Science and Technology 47(23): 13555-13564. <p style="color:red;font-size:120%;"> <b>Please note that estimates from different air pollution models (ESCAPE [2010] and EU-wide [2005-2007]) were not designed to be combined and should not be averaged, as this may introduce bias.</b>	
115	Residential noise pollution	0	1	This category contains data on local environmental exposures, conducted by the Small Area Health Statistics Unit (http://www.sahsu.org/) as part of the BioSHaRE-EU Environmental Determinants of Health Project (http://www.bioshare.eu/). The aim of the BioSHaRE-EU Environmental Determinants of Health Project is to harmonize environmental exposures from multiple biobanks in different countries. UK Biobank is a participating Biobank in this project <p> Noise estimates for the year 2009 were modelled using a version of the CNOSSOS-EU noise model. These Common NOise aSSessment methOdS (CNOSSOS) are recommended by the European Noise Directive 2002/49/EC. <p> Noise pollution estimates for the year 2010 were modelled for each address using a Land Use Regression (LUR) model developed as part of the European Study of Cohorts for Air Pollution Effects (ESCAPE) (http://www.escapeproject.eu/), funded under the EU 7th Framework Programme (for references see below). The LUR model is based on ESCAPE monitoring done between 26 January 2010 - 18 January 2011, and air pollution estimates are representative for the year 2010. Traffic variables were calculated during the course of LUR based on Eurostreets (vs 3.1) digital road network for the year 2008.	
116	Cognitive function online	0	1	Several of the cognitive function tests administered via touchscreen during the initial assessment visit were re-implemented as web-based questionnaires and participants were invited to complete them remotely. Two additional tests were also included in the 2014 iteration, the order of running being: <ol> <li>Device and Mood</li> <li>Fluid intelligence</li> <li>Trail making</li> <li>Symbol digit substitution</li> <li>Pairs matching</li> <li>Numeric memory</li> </ol> <p> The exercise was repeated in 2021 with Pairs matching and Numeric memory replaced by Matrix completion. <p> Because it was possible to complete the modules over a number of sessions the Device/Mood questions were asked at the beginning of each online session. Hence some people will have multiple sets of answers for Device/Mood and these can be related to their answer to the other modules by comparing their entry timestamps. <p> A reaction time test was also performed in 2014 however the results were felt to be of insufficient quality to present due to inconsistencies in the timing routines of the various browsers and devices used by participants to perform the test.	
117	Pairs matching	0	1	This category contains data on 'pairs' matching tests. Participants are asked to memorise the position of as many matching pairs of cards as possible. The cards are then turned face down on the screen and the participant is asked to touch as many pairs as possible in the fewest tries. <p> Either two or three rounds were conducted. The first round used 3 pairs of cards, the second 6 pairs of cards and the third 8 pairs of cards. Participants were only presented with the third round if they made 0 or 1 errors on the second round. <p> For non-specialists, the primary item of interest is likely to be ~F20132~. <p> This measure was also performed in clinics using a touchscreen in ~L100030~.	
118	Fluid intelligence / reasoning	0	1	This category contains data on questions designed to assess 'Fluid intelligence' (i.e. the capacity to solve problems that require logic and reasoning ability, independent of acquired knowledge). The participant has 2 minutes to complete as many questions as possible from the test. <p> For non-specialists, the primary item of interest is ~F20191~. <p> This measure was also performed in clinics using a touchscreen in ~L100027~. <p>Between the 2014 and 2021 iterations, options to respond "Don't know" and "Prefer not to answer" were added to the online version to brinng it into line with the touchscreen implementation. An additional option for two of the questions in the 2014 version were removed in 2021 to bring then into line with the clinic version - see the Notes for ~F20171~ and ~F20189~ for specific details. <p>For instance 0, answer and duration data is provided for all questions up to and including the question being presented at the 2-minute limit. For instance 1, answer and duration data is provided only for questions answered before the 2-minute limit. For both instances, only questions attempted within the allotted 2-minute limit are included in ~F20191~ and ~F20192~ (the fluid intelligence score and the number of fluid intelligence questions attempted within time limit). <p> The OQS website includes a working demonstration of the questionnaire: ~Ehttps://oqsweb.ndph.ox.ac.uk/modetail.cgi?mod_id=14~.	
119	Arterial spin labelling brain MRI	0	1	Arterial spin labelling brain MRI	
120	Numeric memory	0	1	This category contains data on a test designed to assess numeric short-term memory, as part of the touchscreen questionnaire. The participant was shown a 2-digit number to remember. The number then disappeared and after a short while they were asked to enter the number onto the screen in reverse order. The number became one digit longer each time they remembered correctly (up to a maximum of 12 digits). Data collected include the maximum number of digits remembered and whether the test was completed. This test is available for a subset of participants. <p> This measure was also performed in clinics using a touchscreen in ~L100029~.	
121	Trail making	0	1	Participants were presented with a series of labelled circles and instructed to touch them according to a particular ordering rule. <p> Note that all results begin at the second item in each trail since the test is initiated by the participant correctly clicking on the first item at which point the timer is started. <p> This measure was also performed in clinics using a touchscreen in ~L505~. <p> The OQS website includes a working demonstration of the questionnaire: ~Ehttps://oqsweb.ndph.ox.ac.uk/modetail.cgi?mod_id=13~.	
122	Symbol digit substitution	0	1	Participants were presented with a series of grids in which symbols were to be matched to numbers according to a key presented on the screen. <p> This measure was also performed in clinics using a touchscreen in ~L502~. <p> The OQS website includes a working demonstration of the questionnaire: ~Ehttps://oqsweb.ndph.ox.ac.uk/modetail.cgi?mod_id=16~.	The values for ~F20198~, ~F20200~, ~F20229~ and ~F20230~ must be considered together as the corresponding entries in them relate to the same challenge/response pair. <p> Because of the open-ended nature of the test it was possible to score quite well on the count of correctly matched symbols by very rapidly entering arbitrary selections to accumulate random matches. When assessing performance the value of ~F20159~ should therefore be used in conjunction with ~F20195~ to identify instances of this strategy.
123	Work environment	0	1	This category contains the result for the online Healthy Work questionnaire conducted from June through September 2015.	
124	Body composition by DXA	0	1	Body composition results derived from DXA measurements in UK Biobank assessment centre.	
125	Bone size, mineral and density by DXA	0	1	Bone composition results derived from DXA measurements in UK Biobank assessment centre.	
126	Liver MRI	0	1	Liver MRI images and derived data. <br> <br>The derived fields in this category were supplied by Perspectum (application #9914). See the following publications for details about the methods used to derive the data: <br> <br>Wilman HR, Kelly M, Garratt S, et al. (2017) Characterisation of liver fat in the UK Biobank cohort. PLoS ONE 12(2): e0172921. doi:10.1371/journal.pone.0172921 <br> <br>Mojtahed A, Kelly CJ, Herlihy AH, et al. (2019) Reference range of liver corrected T1 values in a population at low risk for fatty liver disease-a UK Biobank sub-study, with an appendix of interesting cases. Abdom Radiol (NY). 44(1):72-84. doi: 10.1007/s00261-018-1701-2	
127	Process authorisation	0	1	Indicates the member of staff who signed-off various stages/operations within the UK Biobank Assessment centres to confirm that they are a valid and correct record of what had taken place.	The original staff usernames have been replaced by arbitrary numeric IDs to preserve confidentiality. <p> Note that (with the exception of Welcome and Consent) not all participants completed every stage and process. The absence of a record here indicates that the participant did not complete the corresponding stage/process.
128	Pulse wave analysis	0	1	Pulse wave analysis and blood pressure measurement was carried out using a vicorder instrument during the heart MRI scan. <br><br> Blood pressure measures acquired with the vicorder instrument should be used in collaboration with the Aortic Distensibility Magnetic Resonance images as these were acquired during the MRI scan in the supine position. Other interests in blood pressure should rely on measures available in Category 100011, which were acquired using the Omron Digital blood pressure monitor in the seated position in the clinic.	
129	Process completion times	0	1	Times when sections within the Assessment Centre were completed (i.e. signed-off by an appropriately qualified member of UK Biobank staff).	Note that (with the exception of Welcome and Consent) not all participants completed every stage and process. The absence of a record here indicates that the participant did not complete the corresponding stage/process.
130	Employment history	0	1	Participants were asked to enumerate their work history. Periods of 6 months or longer during which they were in paid full time employment for at least 15 hours each week have been labelled "jobs", with all other periods labelled "gaps". <p> Additional information about employment at the time of visiting a UK Biobank clinic is presented in ~L100064~.	
131	Pancreas MRI	0	1	Pancreas MRI images and derived data.	
132	Medical information	0	1	Medical information gathered during the working environment questionnaire.	
133	Left ventricular size and function	0	1	Left ventricular size and function, automatically derived from Heart MRI data (inlineVF). <br> <br>Quality issues may exist in this data. Researchers may wish to consider using data available in ~L157~ or ~L162~ as an alternative.	
134	dMRI skeleton	0	1	Diffusion MRI skeleton measurements	
135	dMRI weighted means	0	1	Diffusion MRI weighted means	
136	Mental health	0	1	Results of the on-line mental health self-assessment questionnaire issued in 2016. <p> <p>Please note that some of the questions in this questionnaire are from validated scales, and UK Biobank has used them with permission from the author or licence holder as detailed in the separate category below. If you wish to use these questions in your own research, you must contact the relevant author or licence holder to ensure that you have their permission before using the questions in your own study.	
137	Mental distress	0	1	Mental distress reported within the on-line mental health questionnaire.	
138	Depression	0	1	Depression reported within the on-line mental health questionnaire.	
139	Mania	0	1	Mania reported within the on-line mental health questionnaire.	
140	Anxiety	0	1	Anxiety reported within the on-line mental health questionnaire.	
141	Addictions	0	1	Addictions reported within the on-line mental health questionnaire.	
142	Alcohol use	0	1	Alcohol use reported within the on-line mental health questionnaire.	
143	Cannabis use	0	1	Cannabis use reported within the on-line mental health questionnaire.	
144	Unusual and psychotic experiences	0	1	Unusual and psychotic experiences reported within the on-line mental health questionnaire.	
145	Traumatic events	0	1	Traumatic events reported within the on-line mental health questionnaire. <p> <p>Questions in data fields 20487 - 20491 are adapted from the Childhood Trauma Screener 5 item (CTS-5) with the author's permission. <p> <p>Grabe HJ, Schulz A, Schmidt CO, et al. Ein Screeninginstrument f&uuml;r Missbrauch und Vernachl&auml;ssigung in der Kindheit: der Childhood Trauma Screener (CTS) [A brief instrument for the assessment of childhood abuse and neglect: the childhood trauma screener (CTS)]. Psychiatrische Praxis 2012;39(3):109-115.	
146	Self-harm behaviours	0	1	Self-harm behaviours reported within the on-line mental health questionnaire.	
147	Happiness and subjective well-being	0	1	Happiness and subjective well-being reported within the on-line mental health questionnaire.	
148	Urine processing	0	1	Urine processing metrics.	
149	Abdominal composition	0	1	This category contains derived data from the abdominal MRI, which were supplied by AMRA&reg; Medical AB (Link&ouml;ping, Sweden). <br> <br> Image-derived phenotypes relating to liver iron and fat, and abdominal composition have been generated by multiple institutes. The data from these other institutes are held in ~L126~ and ~L158~. Meaningful differences may exist between data across these categories and therefore, data should not be merged without very careful consideration. <br> <br> Two highly comparable, but distinct pipelines have been used to generate the derived data in this category. Data for participants with only instance 2 have been generated using one pipeline (pipeline version 1). For those with data at both instance 2 and 3, data from instance 2 have been reanalysed in connection with analysis of the corresponding data from instance 3 to enable the highest possible precision for longitudinal assessment (pipeline version 2). A list of the participants with data at both instance 2 and 3, analysed with pipeline version 2, can currently be found in ~F41000~. <br> <br> The following OpenAccess publications provide details of the methods used to derive data in this category under pipeline version 1: <ul> <li> Karlsson A, Rosander J, Romu T, et al. Automatic and quantitative assessment of regional muscle volume by multi-atlas segmentation using whole-body water-fat MRI. Journal of magnetic resonance imaging: JMRI. 2014. doi: 10.1002/jmri.24726 PMID: 25111561. </li> <li> Borga M, Thomas LE, Romu T, Rosander J, et al. Validation of a fast method for quantification of intra-abdominal and subcutaneous adipose tissue for large scale human studies. NMR in biomedicine. 2015; 28(12):1747-53. doi: 10.1002/nbm.3432 PMID: 26768490 </li> <li> West J, Dahlqvist Leinhard O, Romu T, et al. (2016) Feasibility of MR-Based Body Composition Analysis in Large Scale Population Studies. PLoS ONE 11(9): e0163332. doi:10.1371/journal.pone.0163332 </li> <li> Linge J, Borga M, West J et al. (2018) Body Composition Profiling in the UK Biobank Imaging Study. Obesity 26(11). doi: 10.1002/oby.22210 </li> <li> Borga M, Ahlgren A, Romu T, et al. Reproducibility and repeatability of MRI-based body composition analysis. Magn Reson Med. 2020;84(6):3146-3156. doi: 10.1002/mrm.28360 </li> </ul> <br>When using the data for research purposes, the following publications may also be of interest: <br> <ul> <li>Borga M, West J, Bell JD, Harvey NC, Romu T, Heymsfield SB, Dahlqvist Leinhard O. Advanced body composition assessment: from body mass index to body composition profiling. J Investig Med. 2018 Jun;66(5):1-9. doi: 10.1136/jim-2018-000722. Epub 2018 Mar 25. PMID: 29581385; PMCID: PMC5992366.</li> <li>Linge J, Whitcher B, Borga M, Dahlqvist Leinhard O. Sub-phenotyping Metabolic Disorders Using Body Composition: An Individualized, Nonparametric Approach Utilizing Large Data Sets. Obesity (Silver Spring). 2019 Jul;27(7):1190-1199. doi: 10.1002/oby.22510. Epub 2019 May 16. PMID: 31094076; PMCID: PMC6617760.</li> <li>Linge J, Heymsfield SB, Dahlqvist Leinhard O. On the Definition of Sarcopenia in the Presence of Aging and Obesity-Initial Results from UK Biobank. J Gerontol A Biol Sci Med Sci. 2020 Jun 18;75(7):1309-1316. doi: 10.1093/gerona/glz229. PMID: 31642894; PMCID: PMC7302181.</li> <li>Linge J, Ekstedt M, Dahlqvist Leinhard O. Adverse muscle composition is linked to poor functional performance and metabolic comorbidities in NAFLD. JHEP Rep. 2020 Oct 28;3(1):100197. doi: 10.1016/j.jhepr.2020.100197. PMID: 33598647; PMCID: PMC7868647.</li> <li>Linge J, Petersson M, Forsgren MF, Sanyal AJ, Dahlqvist Leinhard O. Adverse muscle composition predicts all-cause mortality in the UK Biobank imaging study. J Cachexia Sarcopenia Muscle. 2021 Dec;12(6):1513-1526. doi: 10.1002/jcsm.12834. Epub 2021 Oct 29. PMID: 34713982; PMCID: PMC8718078.</li> <li>Tejani S, McCoy C, Ayers CR, Powell-Wiley TM, Despr&eacute;s JP, Linge J, Leinhard OD, Petersson M, Borga M, Neeland IJ. Cardiometabolic Health Outcomes Associated With Discordant Visceral and Liver Fat Phenotypes: Insights From the Dallas Heart Study and UK Biobank. Mayo Clin Proc. 2022 Feb;97(2):225-237. doi: 10.1016/j.mayocp.2021.08.021. Epub 2021 Sep 28. PMID: 34598789; PMCID: PMC8818017.</li> </ul> <br>	
150	Home locations	0	1	This section holds information on the geographical location of the home addresses of participants over time. The coordinates presented were derived from UK address information obtained from a variety of sources, including self-report by participants. There is now an updated set of location history fields (~F32220~ - ~F32224~). These have been derived to correct errors in the older set of location history fields (~F22700~ - ~F22704~), which are now marked "[obsolete]" and will be retired in a subsequent update. Researchers are advised to adapt their pipelines to use the new fields where possible. <p> The older fields contained some inherent inaccuracies in that some of the addresses were likely to reflect locations where the NHS interacted with the participant rather than their residential address, and that the date of address change corresponded to the date the address was changed in the corresponding IT system, rather than the actual address change. The latter issue largely arises from delays in participants informing UK Biobank or external agencies that they have moved. In addition, however, we have identified a number of dates that were incorrectly processed in the construction of ~F22700~ and which were up to 30 months different from the participant's change of address notification. <p> NHS-source data has been removed from the new set of fields, except where the accuracy of the location data could be cross-checked with another data source such as self-report. For this reason, ~F22700~ - ~F22704~ contain no location history data prior to baseline. The dates have also been corrected as far as possible, though they will still reflect when participants registered address changes rather than the actual date when they moved. Please also note that absence of information after recruitment does not necessarily mean that a particular participant has not changed address, only that they have not registered the change. <p> All home location fields in this category are restricted. If you require any location data for your project, you must contact the Access Management team for permission, listing the specific fields you require. Please note that access will only be granted for the lowest resolution fields necessary to complete your project. Access to higher-resolution fields will only be granted in exceptional circumstances where they are deemed essential for a particular research question.	
151	Greenspace and coastal proximity	0	1	This category contains environmental indicators relating to greenspace exposure and distance to the coast that was attributed to participants based on home location grid references. The data linkage was undertaken by the European Centre for Environment and Human Health, University of Exeter Medical School. The available metrics include: <ul> <li>Greenspace estimates (at 1000m and 300m home location buffers);</li> <li>Land coverage estimates (for domestic gardens and water) (at 1000m and 300m home location buffers);</li> <li>Land coverage estimates for the 'natural environment' compared to the 'built environment' (at 1000m and 300m home location buffers);</li> <li>Distance from home location to the coast.</li> </ul> The location used for each measurement was the participant's home at the time they were assessed in a UK Biobank centre. The date of the assessment visit is indicated in ~F53~.	There is evidence to suggest that where one lives can influence mental and physical health. Application 15374 focussed on analysis of mental health, diabetes, cardiovascular disease, obesity and physical activity. The aim was to understand the factors that mediate the relationship between the natural environment surrounding an individual and their physical and mental health. More specifically, the research sought to investigate associations between the environmental characteristics of participants' place of birth and current home location, and health outcomes (e.g. mental health and wellbeing, diabetes, cardiovascular disease and physical activity), with a focus on the questions: <ul> <li>Do individuals living in closer proximity to greenspace or blue space participate in more physical activity?</li> <li>Does proximity to greenspace or blue space influence mental health and wellbeing? Does physical activity mediate this?</li> <li>Are there associations between participants' place of birth and/or current living environment, and physical disease (specifically cardiovascular disease and diabetes)?</li> </ul> The Principal investigator was Dr Benedict Wheeler of the University of Exeter. <p> Note that some participants only have data available for one instance. The completeness of data across these fields is determined by the participant's country of residence since data-fields 24500-24505 are available for England only.
152	Process durations	0	1	To help UK Biobank optimise the use of equipment and staff time, many of the processes which occurred within the Assessment Centres were timed.	
153	Digestive health	0	1	Results of the on-line gastro-intestinal health self-assessment questionnaire issued in 2017. <p>Please note that many of the questions in this questionnaire are from validated scales, and UK Biobank has used them with permission from the author or licence holder as detailed in the individual question notes. If you wish to use these questions in your own research, you must contact the relevant author or licence holder to ensure that you have their permission before using the questions in your own study.	
154	Experience of pain	0	1	Results for the "experience of pain" self-assessment questionnaire issued in 2019. <p>Please note that many of the questions in this questionnaire are from validated scales, and UK Biobank has used them with permission from the author or licence holder as detailed in the individual question notes. If you wish to use these questions in your own research, you must contact the relevant author or licence holder to ensure that you have their permission before using the questions in your own study.	
155	Mood	0	1	This category contains questions on the mood of participants prior to completing the online cognitive questionnaire. Each question began "Over the last week have you:" <p> Because it was possible to complete the modules over a number of sessions the Device/Mood questions were asked at the beginning of each online session. Hence some people will have multiple sets of answers for Device/Mood and these can be related to their answer to the other modules by comparing their entry timestamps.	
156	Kidney MRI	0	1	Kidney MRI	
157	Cardiac and aortic function #1	0	1	Derived (from MRI) phenotypes of cardiac and aortic structure and function. For methodology see: <p> Bai, W., Suzuki, H., Huang, J. et al. <br>A population-based phenome-wide association study of cardiac and aortic structure and function. <br>Nat Med 26, 1654-1662 (2020). ~P2384~ <br>Also, see <a class="basic" target="_blank" onClick="javascript:alert('You are now leaving the official\nUK Biobank Showcase website.');" href="https://github.com/baiwenjia/ukbb_cardiac">https://github.com/baiwenjia/ukbb_cardiac</a> <br> <br>These fields have been derived separately from those in Category 162 and should not be considered together without careful assessment of quality.	
158	Abdominal organ composition	0	1	This category contains derived data from the abdominal MRI, which were supplied by Calico (Calico Life Sciences LLC, South San Francisco, USA) and the University of Westminster, as described in ~P4891~ and ~P7129~. <br> <br> Image-derived phenotypes relating to liver iron and fat, and abdominal composition have been generated by multiple institutes. The data from these other institutes are held in ~L126~ and ~L149~. Meaningful differences may exist between data across these categories and therefore, data should not be merged without very careful consideration. <br> <br> Derived-data were estimated using 1 of 3 pipelines. Across the fields in this category, a single participant may have data generated by more than one pipeline. The QC ~F21094~ indicates, for each participant, the data fields associated with each pipeline. The notes section and array indices of the QC field should be noted for details of each pipeline.	
159	Kidney derived measures	0	1	This category contains derived data from the abdominal MRI, provided by Uppsala University, Sweden. <p> Image-derived phenotypes relating to abdominal composition have been generated by multiple institutes. The data from these other institutes are held in ~L158~. Meaningful differences may exist between data across these categories and therefore, data should not be merged without very careful consideration. <p> Methods used to derive these results are outlined in ~P3665~.	
160	Health and well-being	0	1	Health and well-being	
